Messung,Latenz_tz, Latenz_ns
318, 85, 28.33
319, 85, 28.33
320, 83, 27.67
321, 81, 27.00
322, 83, 27.67
323, 85, 28.33
324, 87, 29.00
325, 83, 27.67
326, 81, 27.00
327, 83, 27.67
328, 85, 28.33
329, 87, 29.00
330, 83, 27.67
331, 85, 28.33
332, 83, 27.67
333, 84, 28.00
334, 86, 28.67
335, 82, 27.33
336, 86, 28.67
337, 84, 28.00
338, 82, 27.33
339, 84, 28.00
340, 82, 27.33
341, 85, 28.33
342, 85, 28.33
343, 81, 27.00
344, 81, 27.00
345, 87, 29.00
346, 83, 27.67
347, 69, 23.00
348, 77, 25.67
349, 86, 28.67
350, 88, 29.33
351, 88, 29.33
352, 88, 29.33
353, 84, 28.00
354, 88, 29.33
355, 88, 29.33
356, 88, 29.33
357, 88, 29.33
358, 84, 28.00
359, 84, 28.00
360, 82, 27.33
361, 88, 29.33
362, 88, 29.33
363, 88, 29.33
364, 86, 28.67
365, 82, 27.33
366, 80, 26.67
367, 86, 28.67
368, 81, 27.00
369, 81, 27.00
370, 79, 26.33
371, 89, 29.67
372, 85, 28.33
373, 81, 27.00
374, 87, 29.00
375, 85, 28.33
376, 85, 28.33
377, 83, 27.67
378, 81, 27.00
379, 81, 27.00
380, 81, 27.00
381, 87, 29.00
382, 83, 27.67
383, 81, 27.00
384, 86, 28.67
385, 86, 28.67
386, 84, 28.00
387, 82, 27.33
388, 84, 28.00
389, 80, 26.67
390, 84, 28.00
391, 86, 28.67
392, 85, 28.33
393, 81, 27.00
394, 79, 26.33
395, 81, 27.00
396, 87, 29.00
397, 87, 29.00
398, 81, 27.00
399, 83, 27.67
400, 83, 27.67
401, 81, 27.00
402, 83, 27.67
403, 85, 28.33
404, 87, 29.00
405, 83, 27.67
406, 85, 28.33
407, 83, 27.67
408, 84, 28.00
409, 86, 28.67
410, 84, 28.00
411, 183, 61.00
412, 89, 29.67
413, 89, 29.67
414, 87, 29.00
415, 85, 28.33
416, 85, 28.33
417, 83, 27.67
418, 83, 27.67
419, 89, 29.67
420, 89, 29.67
421, 85, 28.33
422, 84, 28.00
423, 88, 29.33
424, 88, 29.33
425, 88, 29.33
426, 88, 29.33
427, 86, 28.67
428, 82, 27.33
429, 86, 28.67
430, 88, 29.33
431, 83, 27.67
432, 81, 27.00
433, 83, 27.67
434, 83, 27.67
435, 83, 27.67
436, 85, 28.33
437, 89, 29.67
438, 85, 28.33
439, 85, 28.33
440, 83, 27.67
441, 85, 28.33
442, 85, 28.33
443, 89, 29.67
444, 89, 29.67
445, 89, 29.67
