Messung,Latenz_tz, Latenz_ns
9910, 86, 28.67
9911, 88, 29.33
9912, 86, 28.67
9913, 84, 28.00
9914, 86, 28.67
9915, 86, 28.67
9916, 84, 28.00
9917, 84, 28.00
9918, 86, 28.67
9919, 88, 29.33
9920, 83, 27.67
9921, 81, 27.00
9922, 83, 27.67
9923, 83, 27.67
9924, 83, 27.67
9925, 85, 28.33
9926, 89, 29.67
9927, 89, 29.67
9928, 87, 29.00
9929, 87, 29.00
9930, 85, 28.33
9931, 83, 27.67
9932, 83, 27.67
9933, 85, 28.33
9934, 85, 28.33
9935, 87, 29.00
9936, 83, 27.67
9937, 88, 29.33
9938, 88, 29.33
9939, 88, 29.33
9940, 88, 29.33
9941, 88, 29.33
9942, 86, 28.67
9943, 84, 28.00
9944, 84, 28.00
9945, 86, 28.67
9946, 85, 28.33
9947, 87, 29.00
9948, 89, 29.67
9949, 89, 29.67
9950, 83, 27.67
9951, 83, 27.67
9952, 85, 28.33
9953, 89, 29.67
9954, 89, 29.67
9955, 87, 29.00
9956, 87, 29.00
9957, 87, 29.00
9958, 89, 29.67
9959, 89, 29.67
9960, 85, 28.33
9961, 85, 28.33
9962, 89, 29.67
9963, 85, 28.33
9964, 86, 28.67
9965, 86, 28.67
9966, 88, 29.33
9967, 86, 28.67
9968, 88, 29.33
9969, 86, 28.67
9970, 86, 28.67
9971, 84, 28.00
9972, 84, 28.00
9973, 86, 28.67
9974, 87, 29.00
9975, 87, 29.00
9976, 89, 29.67
9977, 89, 29.67
9978, 91, 30.33
9979, 89, 29.67
9980, 83, 27.67
9981, 85, 28.33
9982, 85, 28.33
9983, 83, 27.67
9984, 85, 28.33
9985, 85, 28.33
9986, 83, 27.67
9987, 89, 29.67
9988, 89, 29.67
9989, 89, 29.67
9990, 85, 28.33
9991, 86, 28.67
9992, 86, 28.67
9993, 84, 28.00
9994, 88, 29.33
9995, 88, 29.33
9996, 84, 28.00
9997, 86, 28.67
9998, 84, 28.00
9999, 86, 28.67
10000, 88, 29.33
10001, 83, 27.67
10002, 89, 29.67
10003, 83, 27.67
10004, 83, 27.67
10005, 83, 27.67
10006, 85, 28.33
10007, 85, 28.33
10008, 85, 28.33
10009, 85, 28.33
10010, 83, 27.67
10011, 85, 28.33
10012, 85, 28.33
10013, 89, 29.67
10014, 89, 29.67
10015, 89, 29.67
10016, 89, 29.67
10017, 83, 27.67
10018, 88, 29.33
10019, 88, 29.33
10020, 88, 29.33
10021, 88, 29.33
10022, 88, 29.33
10023, 84, 28.00
10024, 86, 28.67
10025, 84, 28.00
10026, 86, 28.67
10027, 88, 29.33
10028, 83, 27.67
10029, 81, 27.00
10030, 83, 27.67
10031, 91, 30.33
10032, 89, 29.67
10033, 83, 27.67
10034, 89, 29.67
10035, 85, 28.33
10036, 87, 29.00
10037, 83, 27.67
10038, 83, 27.67
10039, 89, 29.67
10040, 89, 29.67
10041, 83, 27.67
10042, 88, 29.33
10043, 88, 29.33
10044, 88, 29.33
10045, 88, 29.33
10046, 88, 29.33
10047, 84, 28.00
10048, 86, 28.67
10049, 86, 28.67
10050, 86, 28.67
10051, 85, 28.33
10052, 87, 29.00
10053, 89, 29.67
10054, 85, 28.33
10055, 83, 27.67
10056, 85, 28.33
10057, 85, 28.33
10058, 85, 28.33
10059, 87, 29.00
10060, 87, 29.00
10061, 85, 28.33
10062, 83, 27.67
10063, 83, 27.67
10064, 85, 28.33
10065, 85, 28.33
10066, 85, 28.33
10067, 86, 28.67
10068, 84, 28.00
10069, 88, 29.33
10070, 88, 29.33
10071, 88, 29.33
10072, 86, 28.67
10073, 84, 28.00
10074, 82, 27.33
10075, 88, 29.33
10076, 85, 28.33
10077, 87, 29.00
10078, 89, 29.67
10079, 89, 29.67
10080, 91, 30.33
10081, 87, 29.00
10082, 85, 28.33
10083, 85, 28.33
10084, 87, 29.00
10085, 87, 29.00
10086, 87, 29.00
10087, 83, 27.67
10088, 83, 27.67
10089, 89, 29.67
10090, 87, 29.00
10091, 83, 27.67
10092, 88, 29.33
10093, 88, 29.33
10094, 88, 29.33
10095, 84, 28.00
10096, 86, 28.67
10097, 82, 27.33
10098, 86, 28.67
10099, 86, 28.67
10100, 88, 29.33
10101, 87, 29.00
10102, 87, 29.00
10103, 89, 29.67
10104, 89, 29.67
10105, 91, 30.33
10106, 89, 29.67
10107, 83, 27.67
10108, 85, 28.33
10109, 85, 28.33
10110, 83, 27.67
10111, 87, 29.00
10112, 83, 27.67
10113, 83, 27.67
10114, 85, 28.33
10115, 89, 29.67
10116, 85, 28.33
10117, 86, 28.67
10118, 84, 28.00
10119, 88, 29.33
10120, 88, 29.33
10121, 86, 28.67
10122, 86, 28.67
10123, 84, 28.00
10124, 84, 28.00
10125, 86, 28.67
10126, 87, 29.00
10127, 83, 27.67
10128, 83, 27.67
10129, 83, 27.67
10130, 89, 29.67
10131, 87, 29.00
10132, 85, 28.33
10133, 85, 28.33
10134, 83, 27.67
10135, 87, 29.00
10136, 83, 27.67
10137, 83, 27.67
10138, 89, 29.67
10139, 180, 60.00
10140, 87, 29.00
10141, 89, 29.67
10142, 85, 28.33
10143, 81, 27.00
10144, 83, 27.67
10145, 85, 28.33
10146, 85, 28.33
10147, 83, 27.67
10148, 81, 27.00
10149, 87, 29.00
10150, 87, 29.00
10151, 85, 28.33
10152, 83, 27.67
10153, 81, 27.00
10154, 86, 28.67
10155, 86, 28.67
10156, 82, 27.33
10157, 84, 28.00
10158, 82, 27.33
10159, 84, 28.00
10160, 84, 28.00
10161, 86, 28.67
10162, 81, 27.00
10163, 85, 28.33
10164, 83, 27.67
10165, 81, 27.00
10166, 87, 29.00
10167, 85, 28.33
10168, 87, 29.00
10169, 83, 27.67
10170, 81, 27.00
10171, 81, 27.00
10172, 81, 27.00
10173, 87, 29.00
10174, 85, 28.33
10175, 83, 27.67
10176, 84, 28.00
10177, 82, 27.33
10178, 86, 28.67
10179, 86, 28.67
10180, 84, 28.00
10181, 82, 27.33
10182, 80, 26.67
10183, 86, 28.67
10184, 81, 27.00
10185, 81, 27.00
10186, 79, 26.33
10187, 89, 29.67
10188, 85, 28.33
10189, 81, 27.00
10190, 87, 29.00
10191, 85, 28.33
10192, 83, 27.67
10193, 83, 27.67
10194, 81, 27.00
10195, 83, 27.67
10196, 83, 27.67
10197, 85, 28.33
10198, 83, 27.67
10199, 82, 27.33
10200, 86, 28.67
10201, 86, 28.67
10202, 82, 27.33
10203, 80, 26.67
10204, 84, 28.00
10205, 84, 28.00
10206, 86, 28.67
10207, 81, 27.00
10208, 81, 27.00
10209, 81, 27.00
10210, 87, 29.00
10211, 87, 29.00
10212, 81, 27.00
10213, 83, 27.67
10214, 83, 27.67
10215, 85, 28.33
10216, 81, 27.00
10217, 81, 27.00
10218, 87, 29.00
10219, 85, 28.33
10220, 83, 27.67
10221, 84, 28.00
10222, 82, 27.33
10223, 86, 28.67
10224, 86, 28.67
10225, 84, 28.00
10226, 80, 26.67
10227, 84, 28.00
10228, 86, 28.67
10229, 81, 27.00
10230, 81, 27.00
10231, 87, 29.00
10232, 89, 29.67
10233, 85, 28.33
10234, 81, 27.00
10235, 87, 29.00
10236, 83, 27.67
10237, 81, 27.00
10238, 83, 27.67
10239, 81, 27.00
10240, 81, 27.00
10241, 87, 29.00
10242, 83, 27.67
10243, 81, 27.00
10244, 88, 29.33
10245, 84, 28.00
10246, 82, 27.33
10247, 84, 28.00
10248, 82, 27.33
10249, 82, 27.33
10250, 82, 27.33
10251, 85, 28.33
10252, 81, 27.00
10253, 79, 26.33
10254, 89, 29.67
10255, 85, 28.33
10256, 85, 28.33
10257, 83, 27.67
10258, 83, 27.67
10259, 81, 27.00
10260, 87, 29.00
10261, 85, 28.33
10262, 83, 27.67
10263, 83, 27.67
10264, 85, 28.33
10265, 81, 27.00
10266, 86, 28.67
10267, 86, 28.67
10268, 84, 28.00
10269, 78, 26.00
10270, 82, 27.33
10271, 84, 28.00
10272, 82, 27.33
10273, 85, 28.33
10274, 81, 27.00
10275, 79, 26.33
10276, 89, 29.67
10277, 85, 28.33
10278, 81, 27.00
10279, 83, 27.67
10280, 85, 28.33
10281, 85, 28.33
10282, 83, 27.67
10283, 81, 27.00
10284, 81, 27.00
10285, 87, 29.00
10286, 85, 28.33
10287, 83, 27.67
10288, 84, 28.00
10289, 82, 27.33
10290, 86, 28.67
10291, 86, 28.67
10292, 84, 28.00
10293, 82, 27.33
10294, 84, 28.00
10295, 82, 27.33
10296, 86, 28.67
10297, 81, 27.00
10298, 85, 28.33
10299, 156, 52.00
10300, 83, 27.67
10301, 83, 27.67
10302, 91, 30.33
10303, 87, 29.00
10304, 85, 28.33
10305, 85, 28.33
10306, 87, 29.00
10307, 87, 29.00
10308, 85, 28.33
10309, 83, 27.67
10310, 83, 27.67
10311, 89, 29.67
10312, 89, 29.67
10313, 83, 27.67
10314, 88, 29.33
10315, 90, 30.00
10316, 84, 28.00
10317, 88, 29.33
10318, 84, 28.00
10319, 86, 28.67
10320, 84, 28.00
10321, 86, 28.67
10322, 87, 29.00
10323, 87, 29.00
10324, 85, 28.33
10325, 83, 27.67
10326, 83, 27.67
10327, 87, 29.00
10328, 89, 29.67
10329, 85, 28.33
10330, 83, 27.67
10331, 85, 28.33
10332, 89, 29.67
10333, 85, 28.33
10334, 85, 28.33
10335, 89, 29.67
10336, 83, 27.67
10337, 88, 29.33
10338, 88, 29.33
10339, 88, 29.33
10340, 88, 29.33
10341, 82, 27.33
10342, 86, 28.67
10343, 86, 28.67
10344, 86, 28.67
10345, 88, 29.33
10346, 83, 27.67
10347, 89, 29.67
10348, 89, 29.67
10349, 85, 28.33
10350, 85, 28.33
10351, 85, 28.33
10352, 89, 29.67
10353, 87, 29.00
10354, 85, 28.33
10355, 85, 28.33
10356, 83, 27.67
10357, 89, 29.67
10358, 89, 29.67
10359, 89, 29.67
10360, 83, 27.67
10361, 88, 29.33
10362, 88, 29.33
10363, 88, 29.33
10364, 84, 28.00
10365, 82, 27.33
10366, 86, 28.67
10367, 86, 28.67
10368, 86, 28.67
10369, 88, 29.33
10370, 83, 27.67
10371, 89, 29.67
10372, 85, 28.33
10373, 83, 27.67
10374, 85, 28.33
10375, 85, 28.33
10376, 85, 28.33
10377, 85, 28.33
10378, 83, 27.67
10379, 85, 28.33
10380, 85, 28.33
10381, 89, 29.67
10382, 89, 29.67
10383, 89, 29.67
10384, 87, 29.00
10385, 83, 27.67
10386, 88, 29.33
10387, 90, 30.00
10388, 86, 28.67
10389, 82, 27.33
10390, 84, 28.00
10391, 86, 28.67
10392, 86, 28.67
10393, 86, 28.67
10394, 85, 28.33
10395, 87, 29.00
10396, 89, 29.67
10397, 85, 28.33
10398, 83, 27.67
10399, 85, 28.33
10400, 85, 28.33
10401, 89, 29.67
10402, 85, 28.33
10403, 85, 28.33
10404, 85, 28.33
10405, 83, 27.67
10406, 83, 27.67
10407, 85, 28.33
10408, 85, 28.33
10409, 85, 28.33
10410, 86, 28.67
10411, 84, 28.00
10412, 88, 29.33
10413, 88, 29.33
10414, 88, 29.33
10415, 86, 28.67
10416, 84, 28.00
10417, 82, 27.33
10418, 88, 29.33
10419, 87, 29.00
10420, 87, 29.00
10421, 89, 29.67
10422, 85, 28.33
10423, 83, 27.67
10424, 85, 28.33
10425, 89, 29.67
10426, 89, 29.67
10427, 87, 29.00
10428, 87, 29.00
10429, 85, 28.33
10430, 83, 27.67
10431, 83, 27.67
10432, 89, 29.67
10433, 89, 29.67
10434, 85, 28.33
10435, 84, 28.00
10436, 88, 29.33
10437, 88, 29.33
10438, 88, 29.33
10439, 88, 29.33
10440, 86, 28.67
10441, 84, 28.00
10442, 82, 27.33
10443, 88, 29.33
10444, 87, 29.00
10445, 87, 29.00
10446, 89, 29.67
10447, 89, 29.67
10448, 85, 28.33
10449, 85, 28.33
10450, 85, 28.33
10451, 85, 28.33
10452, 85, 28.33
10453, 83, 27.67
10454, 85, 28.33
10455, 89, 29.67
10456, 89, 29.67
10457, 85, 28.33
10458, 85, 28.33
10459, 87, 29.00
10460, 83, 27.67
10461, 88, 29.33
10462, 88, 29.33
10463, 88, 29.33
10464, 88, 29.33
10465, 88, 29.33
10466, 86, 28.67
10467, 82, 27.33
10468, 86, 28.67
10469, 88, 29.33
10470, 83, 27.67
10471, 81, 27.00
10472, 83, 27.67
10473, 91, 30.33
10474, 89, 29.67
10475, 83, 27.67
10476, 85, 28.33
10477, 85, 28.33
10478, 83, 27.67
10479, 85, 28.33
10480, 85, 28.33
10481, 89, 29.67
10482, 89, 29.67
10483, 89, 29.67
10484, 89, 29.67
10485, 85, 28.33
10486, 86, 28.67
10487, 84, 28.00
10488, 88, 29.33
10489, 88, 29.33
10490, 88, 29.33
10491, 84, 28.00
10492, 86, 28.67
10493, 86, 28.67
10494, 86, 28.67
10495, 88, 29.33
10496, 87, 29.00
10497, 87, 29.00
10498, 89, 29.67
10499, 89, 29.67
10500, 91, 30.33
10501, 89, 29.67
10502, 87, 29.00
10503, 89, 29.67
10504, 89, 29.67
10505, 87, 29.00
10506, 87, 29.00
10507, 87, 29.00
10508, 89, 29.67
10509, 89, 29.67
10510, 85, 28.33
10511, 85, 28.33
10512, 87, 29.00
10513, 83, 27.67
10514, 88, 29.33
10515, 88, 29.33
10516, 86, 28.67
10517, 84, 28.00
10518, 86, 28.67
10519, 86, 28.67
10520, 84, 28.00
10521, 84, 28.00
10522, 86, 28.67
10523, 88, 29.33
10524, 83, 27.67
10525, 81, 27.00
10526, 83, 27.67
10527, 83, 27.67
10528, 89, 29.67
10529, 87, 29.00
10530, 89, 29.67
10531, 89, 29.67
10532, 87, 29.00
10533, 87, 29.00
10534, 85, 28.33
10535, 89, 29.67
10536, 89, 29.67
10537, 85, 28.33
10538, 85, 28.33
10539, 87, 29.00
10540, 83, 27.67
10541, 88, 29.33
10542, 88, 29.33
10543, 88, 29.33
10544, 88, 29.33
10545, 88, 29.33
10546, 84, 28.00
10547, 86, 28.67
10548, 84, 28.00
10549, 86, 28.67
10550, 87, 29.00
10551, 87, 29.00
10552, 89, 29.67
10553, 89, 29.67
10554, 91, 30.33
10555, 89, 29.67
10556, 87, 29.00
10557, 89, 29.67
10558, 89, 29.67
10559, 87, 29.00
10560, 85, 28.33
10561, 85, 28.33
10562, 83, 27.67
10563, 83, 27.67
10564, 85, 28.33
10565, 85, 28.33
10566, 87, 29.00
10567, 83, 27.67
10568, 88, 29.33
10569, 88, 29.33
10570, 88, 29.33
10571, 88, 29.33
10572, 88, 29.33
10573, 86, 28.67
10574, 84, 28.00
10575, 82, 27.33
10576, 88, 29.33
10577, 87, 29.00
10578, 87, 29.00
10579, 89, 29.67
10580, 89, 29.67
10581, 85, 28.33
10582, 85, 28.33
10583, 89, 29.67
10584, 89, 29.67
10585, 87, 29.00
10586, 87, 29.00
10587, 87, 29.00
10588, 89, 29.67
10589, 85, 28.33
10590, 85, 28.33
10591, 85, 28.33
10592, 87, 29.00
10593, 83, 27.67
10594, 88, 29.33
10595, 88, 29.33
10596, 88, 29.33
10597, 88, 29.33
10598, 88, 29.33
10599, 84, 28.00
10600, 86, 28.67
10601, 86, 28.67
10602, 86, 28.67
10603, 88, 29.33
10604, 83, 27.67
10605, 89, 29.67
10606, 85, 28.33
10607, 83, 27.67
10608, 85, 28.33
10609, 85, 28.33
10610, 89, 29.67
10611, 87, 29.00
10612, 87, 29.00
10613, 87, 29.00
10614, 89, 29.67
10615, 89, 29.67
10616, 89, 29.67
10617, 89, 29.67
10618, 87, 29.00
10619, 83, 27.67
10620, 88, 29.33
10621, 88, 29.33
10622, 88, 29.33
10623, 84, 28.00
10624, 86, 28.67
10625, 82, 27.33
10626, 86, 28.67
10627, 86, 28.67
10628, 88, 29.33
10629, 83, 27.67
10630, 81, 27.00
10631, 83, 27.67
10632, 91, 30.33
10633, 89, 29.67
10634, 87, 29.00
10635, 89, 29.67
10636, 89, 29.67
10637, 87, 29.00
10638, 85, 28.33
10639, 85, 28.33
10640, 83, 27.67
10641, 83, 27.67
10642, 85, 28.33
10643, 85, 28.33
10644, 87, 29.00
10645, 86, 28.67
10646, 86, 28.67
10647, 88, 29.33
10648, 84, 28.00
10649, 88, 29.33
10650, 84, 28.00
10651, 151, 50.33
10652, 82, 27.33
10653, 84, 28.00
10654, 84, 28.00
10655, 86, 28.67
10656, 81, 27.00
10657, 85, 28.33
10658, 87, 29.00
10659, 83, 27.67
10660, 83, 27.67
10661, 85, 28.33
10662, 87, 29.00
10663, 85, 28.33
10664, 85, 28.33
10665, 85, 28.33
10666, 87, 29.00
10667, 85, 28.33
10668, 83, 27.67
10669, 83, 27.67
10670, 85, 28.33
10671, 83, 27.67
10672, 84, 28.00
10673, 86, 28.67
10674, 82, 27.33
10675, 86, 28.67
10676, 84, 28.00
10677, 82, 27.33
10678, 84, 28.00
10679, 82, 27.33
10680, 86, 28.67
10681, 81, 27.00
10682, 81, 27.00
10683, 87, 29.00
10684, 83, 27.67
10685, 83, 27.67
10686, 81, 27.00
10687, 83, 27.67
10688, 85, 28.33
10689, 83, 27.67
10690, 83, 27.67
10691, 81, 27.00
10692, 81, 27.00
10693, 87, 29.00
10694, 87, 29.00
10695, 85, 28.33
10696, 83, 27.67
10697, 84, 28.00
10698, 82, 27.33
10699, 86, 28.67
10700, 86, 28.67
10701, 84, 28.00
10702, 82, 27.33
10703, 80, 26.67
10704, 86, 28.67
10705, 85, 28.33
10706, 85, 28.33
10707, 81, 27.00
10708, 81, 27.00
10709, 81, 27.00
10710, 87, 29.00
10711, 85, 28.33
10712, 87, 29.00
10713, 85, 28.33
10714, 85, 28.33
10715, 83, 27.67
10716, 81, 27.00
10717, 81, 27.00
10718, 87, 29.00
10719, 85, 28.33
10720, 83, 27.67
10721, 81, 27.00
10722, 88, 29.33
10723, 84, 28.00
10724, 82, 27.33
10725, 84, 28.00
10726, 82, 27.33
10727, 84, 28.00
10728, 84, 28.00
10729, 86, 28.67
10730, 81, 27.00
10731, 85, 28.33
10732, 83, 27.67
10733, 81, 27.00
10734, 83, 27.67
10735, 81, 27.00
10736, 87, 29.00
10737, 83, 27.67
10738, 81, 27.00
10739, 87, 29.00
10740, 85, 28.33
10741, 83, 27.67
10742, 83, 27.67
10743, 85, 28.33
10744, 83, 27.67
10745, 84, 28.00
10746, 86, 28.67
10747, 84, 28.00
10748, 82, 27.33
10749, 84, 28.00
10750, 82, 27.33
10751, 84, 28.00
10752, 82, 27.33
10753, 85, 28.33
10754, 85, 28.33
10755, 81, 27.00
10756, 81, 27.00
10757, 87, 29.00
10758, 83, 27.67
10759, 83, 27.67
10760, 83, 27.67
10761, 85, 28.33
10762, 85, 28.33
10763, 81, 27.00
10764, 81, 27.00
10765, 87, 29.00
10766, 87, 29.00
10767, 85, 28.33
10768, 81, 27.00
10769, 86, 28.67
10770, 86, 28.67
10771, 86, 28.67
10772, 82, 27.33
10773, 80, 26.67
10774, 84, 28.00
10775, 84, 28.00
10776, 83, 27.67
10777, 85, 28.33
10778, 81, 27.00
10779, 81, 27.00
10780, 81, 27.00
10781, 87, 29.00
10782, 85, 28.33
10783, 87, 29.00
10784, 83, 27.67
10785, 81, 27.00
10786, 87, 29.00
10787, 81, 27.00
10788, 81, 27.00
10789, 87, 29.00
10790, 85, 28.33
10791, 83, 27.67
10792, 84, 28.00
10793, 82, 27.33
10794, 86, 28.67
10795, 86, 28.67
10796, 80, 26.67
10797, 84, 28.00
10798, 84, 28.00
10799, 83, 27.67
10800, 85, 28.33
10801, 85, 28.33
10802, 83, 27.67
10803, 81, 27.00
10804, 83, 27.67
10805, 85, 28.33
10806, 87, 29.00
10807, 83, 27.67
10808, 85, 28.33
10809, 81, 27.00
10810, 81, 27.00
10811, 197, 65.67
10812, 88, 29.33
10813, 84, 28.00
10814, 86, 28.67
10815, 86, 28.67
10816, 86, 28.67
10817, 88, 29.33
10818, 83, 27.67
10819, 81, 27.00
10820, 89, 29.67
10821, 85, 28.33
10822, 85, 28.33
10823, 89, 29.67
10824, 85, 28.33
10825, 83, 27.67
10826, 87, 29.00
10827, 83, 27.67
10828, 83, 27.67
10829, 89, 29.67
10830, 87, 29.00
10831, 83, 27.67
10832, 88, 29.33
10833, 84, 28.00
10834, 88, 29.33
10835, 88, 29.33
10836, 86, 28.67
10837, 82, 27.33
10838, 86, 28.67
10839, 88, 29.33
10840, 83, 27.67
10841, 81, 27.00
10842, 89, 29.67
10843, 85, 28.33
10844, 85, 28.33
10845, 89, 29.67
10846, 85, 28.33
10847, 83, 27.67
10848, 87, 29.00
10849, 89, 29.67
10850, 89, 29.67
10851, 85, 28.33
10852, 85, 28.33
10853, 87, 29.00
10854, 86, 28.67
10855, 84, 28.00
10856, 88, 29.33
10857, 88, 29.33
10858, 86, 28.67
10859, 82, 27.33
10860, 86, 28.67
10861, 86, 28.67
10862, 85, 28.33
10863, 87, 29.00
10864, 89, 29.67
10865, 85, 28.33
10866, 83, 27.67
10867, 87, 29.00
10868, 89, 29.67
10869, 85, 28.33
10870, 83, 27.67
10871, 85, 28.33
10872, 83, 27.67
10873, 83, 27.67
10874, 85, 28.33
10875, 89, 29.67
10876, 83, 27.67
10877, 88, 29.33
10878, 88, 29.33
10879, 88, 29.33
10880, 82, 27.33
10881, 84, 28.00
10882, 86, 28.67
10883, 84, 28.00
10884, 88, 29.33
10885, 83, 27.67
10886, 81, 27.00
10887, 85, 28.33
10888, 83, 27.67
10889, 87, 29.00
10890, 89, 29.67
10891, 85, 28.33
10892, 83, 27.67
10893, 87, 29.00
10894, 83, 27.67
10895, 83, 27.67
10896, 89, 29.67
10897, 87, 29.00
10898, 83, 27.67
10899, 88, 29.33
10900, 90, 30.00
10901, 84, 28.00
10902, 88, 29.33
10903, 86, 28.67
10904, 82, 27.33
10905, 86, 28.67
10906, 88, 29.33
10907, 83, 27.67
10908, 81, 27.00
10909, 89, 29.67
10910, 91, 30.33
10911, 87, 29.00
10912, 85, 28.33
10913, 85, 28.33
10914, 85, 28.33
10915, 87, 29.00
10916, 85, 28.33
10917, 83, 27.67
10918, 89, 29.67
10919, 85, 28.33
10920, 87, 29.00
10921, 83, 27.67
10922, 88, 29.33
10923, 84, 28.00
10924, 88, 29.33
10925, 88, 29.33
10926, 86, 28.67
10927, 84, 28.00
10928, 82, 27.33
10929, 88, 29.33
10930, 87, 29.00
10931, 87, 29.00
10932, 89, 29.67
10933, 89, 29.67
10934, 85, 28.33
10935, 85, 28.33
10936, 89, 29.67
10937, 89, 29.67
10938, 87, 29.00
10939, 85, 28.33
10940, 85, 28.33
10941, 83, 27.67
10942, 89, 29.67
10943, 85, 28.33
10944, 87, 29.00
10945, 86, 28.67
10946, 86, 28.67
10947, 88, 29.33
10948, 86, 28.67
10949, 82, 27.33
10950, 84, 28.00
10951, 86, 28.67
10952, 82, 27.33
10953, 88, 29.33
10954, 87, 29.00
10955, 83, 27.67
10956, 83, 27.67
10957, 91, 30.33
10958, 89, 29.67
10959, 83, 27.67
10960, 85, 28.33
10961, 85, 28.33
10962, 87, 29.00
10963, 87, 29.00
10964, 83, 27.67
10965, 83, 27.67
10966, 85, 28.33
10967, 85, 28.33
10968, 87, 29.00
10969, 86, 28.67
10970, 86, 28.67
10971, 84, 28.00
10972, 88, 29.33
10973, 88, 29.33
10974, 84, 28.00
10975, 86, 28.67
10976, 84, 28.00
10977, 86, 28.67
10978, 85, 28.33
10979, 87, 29.00
10980, 85, 28.33
10981, 83, 27.67
10982, 89, 29.67
10983, 87, 29.00
10984, 85, 28.33
10985, 85, 28.33
10986, 83, 27.67
10987, 85, 28.33
10988, 85, 28.33
10989, 83, 27.67
10990, 89, 29.67
10991, 89, 29.67
10992, 89, 29.67
10993, 83, 27.67
10994, 88, 29.33
10995, 88, 29.33
10996, 88, 29.33
10997, 88, 29.33
10998, 86, 28.67
10999, 82, 27.33
11000, 86, 28.67
11001, 86, 28.67
11002, 88, 29.33
11003, 83, 27.67
11004, 81, 27.00
11005, 83, 27.67
11006, 91, 30.33
11007, 89, 29.67
11008, 87, 29.00
11009, 85, 28.33
11010, 85, 28.33
11011, 87, 29.00
11012, 87, 29.00
11013, 89, 29.67
11014, 85, 28.33
11015, 85, 28.33
11016, 89, 29.67
11017, 85, 28.33
11018, 86, 28.67
11019, 84, 28.00
11020, 88, 29.33
11021, 88, 29.33
11022, 88, 29.33
11023, 86, 28.67
11024, 84, 28.00
11025, 84, 28.00
11026, 86, 28.67
11027, 88, 29.33
11028, 83, 27.67
11029, 81, 27.00
11030, 83, 27.67
11031, 91, 30.33
11032, 89, 29.67
11033, 87, 29.00
11034, 89, 29.67
11035, 85, 28.33
11036, 83, 27.67
11037, 85, 28.33
11038, 85, 28.33
11039, 83, 27.67
11040, 89, 29.67
11041, 89, 29.67
11042, 87, 29.00
11043, 83, 27.67
11044, 88, 29.33
11045, 90, 30.00
11046, 86, 28.67
11047, 82, 27.33
11048, 84, 28.00
11049, 86, 28.67
11050, 86, 28.67
11051, 86, 28.67
11052, 88, 29.33
11053, 87, 29.00
11054, 83, 27.67
11055, 83, 27.67
11056, 83, 27.67
11057, 83, 27.67
11058, 85, 28.33
11059, 85, 28.33
11060, 89, 29.67
11061, 87, 29.00
11062, 87, 29.00
11063, 87, 29.00
11064, 89, 29.67
11065, 89, 29.67
11066, 85, 28.33
11067, 85, 28.33
11068, 87, 29.00
11069, 83, 27.67
11070, 88, 29.33
11071, 88, 29.33
11072, 86, 28.67
11073, 82, 27.33
11074, 84, 28.00
11075, 86, 28.67
11076, 86, 28.67
11077, 86, 28.67
11078, 88, 29.33
11079, 87, 29.00
11080, 87, 29.00
11081, 89, 29.67
11082, 85, 28.33
11083, 89, 29.67
11084, 87, 29.00
11085, 85, 28.33
11086, 85, 28.33
11087, 87, 29.00
11088, 87, 29.00
11089, 87, 29.00
11090, 89, 29.67
11091, 89, 29.67
11092, 89, 29.67
11093, 89, 29.67
11094, 89, 29.67
11095, 85, 28.33
11096, 86, 28.67
11097, 86, 28.67
11098, 84, 28.00
11099, 88, 29.33
11100, 88, 29.33
11101, 84, 28.00
11102, 86, 28.67
11103, 86, 28.67
11104, 86, 28.67
11105, 88, 29.33
11106, 83, 27.67
11107, 81, 27.00
11108, 83, 27.67
11109, 91, 30.33
11110, 89, 29.67
11111, 87, 29.00
11112, 89, 29.67
11113, 89, 29.67
11114, 87, 29.00
11115, 87, 29.00
11116, 87, 29.00
11117, 89, 29.67
11118, 89, 29.67
11119, 85, 28.33
11120, 85, 28.33
11121, 89, 29.67
11122, 85, 28.33
11123, 86, 28.67
11124, 86, 28.67
11125, 84, 28.00
11126, 88, 29.33
11127, 88, 29.33
11128, 84, 28.00
11129, 86, 28.67
11130, 86, 28.67
11131, 86, 28.67
11132, 88, 29.33
11133, 87, 29.00
11134, 87, 29.00
11135, 89, 29.67
11136, 89, 29.67
11137, 91, 30.33
11138, 87, 29.00
11139, 85, 28.33
11140, 85, 28.33
11141, 85, 28.33
11142, 83, 27.67
11143, 85, 28.33
11144, 89, 29.67
11145, 89, 29.67
11146, 85, 28.33
11147, 85, 28.33
11148, 87, 29.00
11149, 83, 27.67
11150, 88, 29.33
11151, 88, 29.33
11152, 88, 29.33
11153, 88, 29.33
11154, 88, 29.33
11155, 86, 28.67
11156, 84, 28.00
11157, 84, 28.00
11158, 86, 28.67
11159, 88, 29.33
11160, 83, 27.67
11161, 89, 29.67
11162, 89, 29.67
11163, 142, 47.33
11164, 85, 28.33
11165, 83, 27.67
11166, 85, 28.33
11167, 85, 28.33
11168, 83, 27.67
11169, 83, 27.67
11170, 85, 28.33
11171, 85, 28.33
11172, 85, 28.33
11173, 86, 28.67
11174, 86, 28.67
11175, 88, 29.33
11176, 86, 28.67
11177, 84, 28.00
11178, 86, 28.67
11179, 86, 28.67
